Name,URL,Location,Date Begin,Date End,Description
Shoptalk,https://shoptalk.com/,"Las Vegas, USA",18 March 2018,21 March 2018,"Shoptalk covers the rapid evolution of how consumers discover, shop and buy—from new technologies and business models to the latest trends in consumer behaviors, preferences and expectations."
Gartner Data & Analytics Summit,https://www.gartner.com/events/emea/data-analytics,"London, UK",19 March 2018,21 March 2018,"To survive and thrive in the digital era, now is the time to drive data and analytics into the core of your business and scale outward to every employee, customer, supplier and partner. This conference will help you create the future – a future based on data you can trust, analytics you can rely on and the insight needed to make game-changing business decisions."
IBM conf,https://www.ibm.com/events/think/,"Las Vegas, USA",19 March 2018,22 March 2018,The event where the problems of tomorrow meet the minds of today. Discover how you can realize exponential outcomes through the power of IBM.
GDC conf,http://www.gdconf.com,"San Francisco, USA",19 March 2018,23 March 2018,"GDC is the world's largest professional game industry event. Join game designers, programmers, artists, producers, and business professionals for 5 days of unparalleled education, inspiration and networking for the global game development community."
"DATA WAREHOUSING & BUSINESS INTELLIGENCE SUMMIT
",https://www.dwbisummit.com/?lang=en,"Utrecht, Netherlands",20 March 2018,21 March 2018,"The two day DW&BI Summit is geared to for IT Executives, IT Management and Architects, business intelligence and data warehousing professionals who wish to take a detailed and practical look at the latest developments in Data Warehousing and Business Intelligence. The following professionals should attend:IT executives and managers; Sponsors of BI and DW programs; Business technology managers; BI/DW project managers; Data warehousing architects; Business intelligence practitioners; Business analysts; Data scientists; Technology architects; Data architects and data modelers; Project and program managers; Data integrators; Developers of BI and DW systems; Business and IT consultants."
"AI & Robotics: Compliance, Liability & Risk Management​",https://www.insightxnetwork.com/ai-robotics-compliance-liability-risk-management.html,"San Francisco, USA",20 March 2018,21 March 2018,"There are numerous technical conferences on the advances of artificial intelligence and robotics, but the legal implications of implementing these technologies have been sorely neglected! From AI in healthcare, to self-driving cars, to data privacy in AI devices, the liability implications alone are enormous! Attend the first conference focusing solely on legal issues in the AI and Robotics sector at IEN’s AI & Robotics: Compliance, Liability and Risk Management this March and get up-to-speed on the key issues affecting all sectors of the market!"
Chief Marketing Officer Summit,https://theinnovationenterprise.com/summits/chief-marketing-officer-summit-san-francisco-2018,"San Francisco, USA",20 March 2018,21 March 2018,The Chief Marketing Officer Summit will equip you with progressive strategies to enhance your marketing leadership in the digital age
Analytics and Data Summit,http://www.biwasummit.org/,"Redwood Shores, USA",20 March 2018,22 March 2018,"The Analytics and Data Summit is organized and managed by Oracle BI, Data Warehouse, and Analytics user community. This year, it even includes the annual Oracle Spatial Summit. This event attracts the top Oracle BI, Data Warehouse, Advanced Analytics, Big Data, and Spatial and Graph experts."
Chief Data & Analytics Officer Sydney,https://chiefdataanalyticsofficersydney.com/,"Sydney, Australia",20 March 2018,22 March 2018,"Revealing the latest data, analytics and AI innovations driving the smart enterprise."
Smart IoT,https://www.smartiotlondon.com,"London, UK",21 March 2018,22 March 2018,"Wherever you are on your IoT journey - whether you’re exploring how to become a data-centric business, or you are looking at the next steps of securing, analysing and integrating this data with your existing or new applications and processes – Smart IoT is the only place to be."
